,pubkey,alias,color_hex,open_channels,capacity,min_channel_size,address_1,address_2,hubness_rank,weighted_hubness_rank,hopness_rank,weighted_hopness_rank,betweenness_rank,weighted_betweenness_rank,website,twitter,nostr,youtube,facebook,linkedin,telegram,instagram,discord,medium,tiktok,github,bio,avatar,social_image,name,lnp_verified_user,lnp_updated_at,lnp_rank,lnp_rank_name,prime,pro,lnp_positive_ratings_received,lnp_negative_ratings_received,lnp_positive_ratings_given,lnp_negative_ratings_given,lnp_badges
0,0200000000727d3b67513c916f16975e3bf8f3304cf3fcf0ed855e2ae41888f461,lightningspore.com,#ff5000,38,128909413,,35.84.234.241:9735,umr3j766h2g67dlythcf4dcs4sjsfvrwybmnmpxobb3xor4l6zkt6uyd.onion:9735,345,619,358,6100,1046,841,,,,,,,,,,,,,,,,,False,2025-03-01T22:52:15.596Z,8,Gold,False,False,,,,,[]
1,0200000000a3eff613189ca6c4070c89206ad658e286751eca1f29262948247a5f,pay.lnrouter.app,#f8fbff,4,23780264,,159.69.16.168:9735,[2a01:4f8:1c1e:abc1::1]:9735,2122,1289,3225,5586,5179,3047,,,,,,,,,,,,,,,,,False,2025-03-01T17:34:36.856Z,6,Tungsten,False,False,,,,,[]
2,020003b9499a97c8dfbbab6b196319db37ba9c37bccb60477f3c867175f417988e,BJCR_BTCPayServer,#3399ff,40,198734206,0.0,vr47stl576kawzuogikujvopddkztcsjigvu2jgnkcztl5kupjytumqd.onion:9735,143.202.162.130:9735,661,650,1846,5342,613,677,,,,,,,,,,,,,,,,BJCR_BTCPayServer,True,2025-03-01T15:04:43.076Z,7,Silver,True,False,16.0,0.0,13.0,3.0,"[{'name': 'Opener', 'description': 'Opened a Channel'}, {'name': 'Passionate', 'description': 'Opened 10+ Channels'}, {'name': 'Liquid', 'description': 'Has Liquidity Credits'}, {'name': 'Social', 'description': 'Posted a comment'}, {'name': 'Generous', 'description': 'Donated to LN+'}, {'name': 'Verified', 'description': 'Node signed'}, {'name': 'Silver', 'description': 'Node Rank 7'}]"
3,0200081eaa41b5661d3b512f5aae9d6abfb11ba1497a354e9217d9a18fbaa1e76b,0200081eaa41b5661d3b,#3399ff,3,300000,,lm63zodngkzqbol6lgadijh5p5xm6ltbekfxlbofvmnbkvi5cnzrzdid.onion:9735,,2526,3759,926,5124,1781,1909,,,,,,,,,,,,,,,,,False,2025-03-01T14:19:59.503Z,6,Tungsten,False,False,,,,,[]
4,020016201d389a44840f1f33be29288952f67c8ef6b3f98726fda180b4185ca6e2,AlasPoorYorick,#604bee,1,1000000,0.0,7vuykfnmgkarlk4xjew4ea6lj7qwbbggbox4b72abupu7sn24geajzyd.onion:9735,,10166,10166,10166,10166,10166,10166,,,,,,,,,,,,,,,,AlasPoorYorick,True,2024-08-02T03:24:59.748Z,0,,True,False,17.0,0.0,18.0,0.0,"[{'name': 'Opener', 'description': 'Opened a Channel'}, {'name': 'Passionate', 'description': 'Opened 10+ Channels'}, {'name': 'Social', 'description': 'Posted a comment'}, {'name': 'Verified', 'description': 'Node signed'}]"
5,02001828ca7eb8e44d4d78b5c1ea609cd3744be823c22cd69d895eff2f9345892d,nodl-lnd-s010-042,#000000,2,200000,,185.150.160.210:4042,,6360,6338,6366,5099,5288,1845,,,,,,,,,,,,,,,,,False,2025-03-01T14:25:25.635Z,1,Aluminium,False,False,,,,,[]
6,02001bcff2e27f6aa2aa8e68c7e5944bcbf5daf4954963e5a1ce2ab6f5386d0342,a8933f1a19c6,#3399ff,1,90000,,18.215.247.182:9735,,8125,8125,8125,8125,8125,8125,,,,,,,,,,,,,,,,,False,2025-03-01T15:00:56.027Z,2,Iron,False,False,,,,,[]
7,0200232177944d5e2ddf5b203843050dee40c4b7f343356499ed9aeb4eb154fd4e,skyskiff,#3399ff,49,68338416,0.0,65ixwpitzmfbiwotdzzowe6mhtbj2gk47vzdietjurnvmqdvr4igw2id.onion:9735,,3229,4194,3048,5553,456,524,,,,,,,,,,,,,,,,skyskiff,True,2025-03-02T06:58:00.900Z,5,Titanium,True,False,74.0,0.0,81.0,0.0,"[{'name': 'Honourable', 'description': 'Received 25+ good ratings and 90%+ Happy'}, {'name': 'Virtuous', 'description': 'Received 50+ good ratings and 90%+ Happy'}, {'name': 'Opener', 'description': 'Opened a Channel'}, {'name': 'Passionate', 'description': 'Opened 10+ Channels'}, {'name': 'Impactful', 'description': 'Opened 25+ Channels'}, {'name': 'Superstar', 'description': 'Opened 50+ Channels'}, {'name': 'Social', 'description': 'Posted a comment'}, {'name': 'Verified', 'description': 'Node signed'}, {'name': 'API User', 'description': 'Have used the LN+ API'}]"
8,0200420ebfb0c6162e7dfcbcb5ca23df9f423ceb0536617d1b4549fc4efa6a15d5,Dezeland,#00bfff,3,2500000,0.0,f3azhfrb6ezcvmva5m77mqlqhiv5xh24g3vwhlev5kjo5g2giszrdzad.onion:9735,,2421,2499,2172,5987,3474,4056,,,,,,,,,,,,,,https://d48ttl5m5edbw.cloudfront.net/14dct7nx88og1kjky089xuwjdven,https://d48ttl5m5edbw.cloudfront.net/k77rdqtxnfk2kriyqlcouvbxvgtp,Dezeland,True,2025-03-01T16:30:52.565Z,6,Tungsten,False,False,2.0,0.0,2.0,0.0,"[{'name': 'Opener', 'description': 'Opened a Channel'}, {'name': 'Social', 'description': 'Posted a comment'}, {'name': 'Scholar', 'description': 'Taking lessons'}, {'name': 'Verified', 'description': 'Node signed'}]"
9,0200424bd89b5282c310e10a52fd783070556f947b54d93f73fd89534ce0cba708,WHENBTC,#3399ff,3,4078240,,67.166.1.116:9735,,5298,4636,4745,5028,2347,1590,,,,,,,,,,,,,,,,,False,2025-03-01T14:14:18.314Z,2,Iron,False,False,,,,,[]
